330	461
750	69
363	843
771	136
735	3
146	654
560	321
878	436
42	200
493	593
332	100
642	758
899	766
287	574
568	189
449	323
38	648
694	389
314	486
343	732
212	528
614	707
862	831
827	736
252	193
819	699
886	613
671	624
233	701
430	738
620	207
484	545
568	582
555	897
378	255
90	48
618	550
861	469
223	186
862	468
568	279
317	432
511	887
537	819
548	550
154	58
751	616
171	882
830	131
361	107
886	571
711	689
713	601
585	782
102	391
622	441
370	742
674	594
319	2
455	103
742	229
502	514
726	716
610	636
486	196
188	588
695	893
519	506
482	496
818	420
551	737
897	708
223	820
556	522
608	186
880	466
537	97
459	270
593	427
477	710
474	537
841	735
585	834
88	479
666	276
747	206
214	430
700	706
751	622
325	407
727	56
554	739
342	704
649	16
354	469
657	454
684	500
312	435
673	857
205	302
725	156
561	272
493	87
682	885
401	474
383	166
564	839
354	481
696	880
348	82
451	448
42	83
544	464
784	301
45	677
562	699
26	47
270	850
317	203
477	759
695	894
429	769
809	306
838	132
563	852
201	465
143	698
29	398
592	702
86	887
814	40
470	630
899	755
157	58
191	77
419	578
422	501
889	213
551	843
508	636
876	547
311	437
652	48
224	16
722	341
4	736
148	337
625	627
334	653
293	350
643	3
207	310
504	37
687	755
482	280
118	226
656	762
525	425
163	752
14	547
255	484
18	328
853	648
837	868
884	842
630	741
240	431
332	327
860	128
240	456
604	608
38	81
418	138
96	468
593	621
496	79
652	489
194	754
36	886
590	4
61	87
386	593
308	650
333	517
893	89
99	794
539	347
877	53
686	781
316	777
449	588
847	422
525	763
584	16
233	857
42	732
872	8
849	384
106	818
571	14
337	341
671	130
397	76
26	157
811	184
863	280
787	672
553	702
232	756
458	608
362	456
471	573
200	845
389	362
3	871
511	559
509	841
541	115
418	327
709	658
493	873
839	699
346	277
220	719
360	286
84	449
678	326
718	780
885	696
509	598
319	823
16	228
375	543
303	850
661	223
855	837
334	394
419	204
101	749
298	68
191	759
403	796
270	242
572	391
500	194
96	169
436	558
272	408
554	231
230	822
807	418
90	475
317	390
281	552
686	678
274	741
594	739
117	827
284	35
619	688
645	6
402	87
886	440
821	435
846	256
793	21
433	17
288	279
687	869
593	178
644	624
502	18
272	324
493	602
82	407
573	366
348	601
877	431
530	299
258	448
431	641
555	659
140	724
551	400
627	582
731	200
502	333
724	632
788	163
530	762
167	488
116	823
186	412
405	250
437	106
135	416
467	460
367	757
538	783
362	893
94	235
95	757
720	264
432	363
590	592
486	595
176	243
358	641
668	100
832	675
703	846
796	774
687	362
180	69
575	735
415	779
6	124
483	206
454	865
826	762
223	373
197	362
604	355
530	694
506	219
727	160
875	307
64	572
269	679
521	579
69	714
885	704
122	424
525	635
890	155
522	485
414	212
715	508
619	492
163	497
